Ana Kelime,Yasaklı Kelime 1 (İpucu),Yasaklı Kelime 2,Yasaklı Kelime 3,Yasaklı Kelime 4,Yasaklı Kelime 5,Alt Kategori (Set),Nadirlik (Rarity)
Liverpool,Kırmızılar,Anfield,Klopp,You Never Walk Alone,Salah,Kulüpler & Mabedler,Epic
Manchester City,Maviler,Guardiola,Etihad,Şampiyon,Haaland,Kulüpler & Mabedler,Epic
Manchester United,Kırmızı Şeytanlar,Old Trafford,Ferguson,Ronaldo,Ten Hag,Kulüpler & Mabedler,Epic
Newcastle United,Siyah Beyaz,St James Park,Magpies,Suudi Arabistan,Kuzey,Kulüpler & Mabedler,Epic
Tottenham Hotspur,Spurs,Londra,Kuzey,Postecoglou,Kane,Kulüpler & Mabedler,Epic
West Ham United,Çekiçler,Londra,Olimpiyat,Bordo Mavi,Baloncuk,Kulüpler & Mabedler,Epic
Wolverhampton,Kurtlar,Turuncu,Molineux,Portekiz,Wolves,Yeşil Saha Efsaneleri,Rare
Crystal Palace,Kartallar,Londra,Selhurst Park,Kırmızı Laci,Güney,Yeşil Saha Efsaneleri,Rare
Fulham,Siyah Beyaz,Londra,Craven Cottage,Nehir,Thames,Yeşil Saha Efsaneleri,Rare
Brighton,Martılar,Mavi Beyaz,Güney,De Zerbi,Sahil,Yeşil Saha Efsaneleri,Rare
Brentford,Arılar,Kırmızı Beyaz,Londra,Danimarka,Frank,Yeşil Saha Efsaneleri,Rare
Nottingham Forest,Kırmızılar,Ağaç,Avrupa Kupası,City Ground,Nottingham,Kupalar & Turnuvalar,Epic
Bournemouth,Kirazlar,Kırmızı Siyah,Güney,Sahil,Vitality,Yeşil Saha Efsaneleri,Rare
Burnley,Bordo Mavi,Kompany,Turf Moor,Kuzey,Clarets,Yeşil Saha Efsaneleri,Rare
Sheffield United,Kılıçlar,Kırmızı Beyaz,Çelik,Bramall Lane,Yorkshire,Yeşil Saha Efsaneleri,Rare
Leicester City,Tilkiler,Mavi Beyaz,Şampiyon,Vardy,King Power,Kulüpler & Mabedler,Epic
Leeds United,Beyazlar,Yorkshire,Elland Road,Bielsa,Güller,Yeşil Saha Efsaneleri,Rare
Southampton,Azizler,Kırmızı Beyaz,Güney,St Marys,Sahil,Yeşil Saha Efsaneleri,Rare
Sunderland,Kara Kediler,Kırmızı Beyaz,Kuzey,Stadium of Light,Belgesel,Kulüpler & Mabedler,Epic
Ipswich Town,Mavi Beyaz,Traktörler,Doğu,Kieran McKenna,Portman Road,Yeşil Saha Efsaneleri,Rare
Middlesbrough,Kırmızılar,Kuzey,Riverside,Carrick,Boro,Yeşil Saha Efsaneleri,Rare
West Bromwich,Çizgililer,Mavi Beyaz,Birmingham,Hawthorns,Baggies,Yeşil Saha Efsaneleri,Rare
QPR,Mavi Beyaz,Londra,Loftus Road,Hoops,Queens,Yeşil Saha Efsaneleri,Rare
Real Madrid,Beyazlar,Bernabeu,Kralın Takımı,Ancelotti,Şampiyonlar Ligi,Kulüpler & Mabedler,Epic
Barcelona,Katalan,Nou Camp,Xavi,Messi,Bordo Mavi,Kulüpler & Mabedler,Epic
Atletico Madrid,Kırmızı Beyaz,Simeone,Wanda Metropolitano,Yatakçılar,Başkent,Kulüpler & Mabedler,Epic
Sevilla,Kırmızı Beyaz,Endülüs,Avrupa Ligi,Ramos,Sanchez Pizjuan,Kulüpler & Mabedler,Epic
Valencia,Yarasalar,Mestalla,Beyaz Siyah,Doğu,Portakal,Kulüpler & Mabedler,Epic
Villarreal,Sarı Denizaltı,Seramik,Küçük Şehir,Castellon,Sarı,Kulüpler & Mabedler,Epic
Real Betis,Yeşil Beyaz,Endülüs,Sevilla,Benito Villamarin,Pellegrini,Kulüpler & Mabedler,Epic
Real Sociedad,Mavi Beyaz,Bask,San Sebastian,Anoeta,Kuzey,Yeşil Saha Efsaneleri,Rare
Athletic Bilbao,Kırmızı Beyaz,Bask,San Mames,Sadece Bask,Aslanlar,Yeşil Saha Efsaneleri,Rare
Celta Vigo,Gök Mavililer,Galiçya,Balaidos,Iago Aspas,Kuzey,Futbol Terimleri & Taktikler,Common
Osasuna,Kırmızılar,Pamplona,Navarra,El Sadar,Boğa,Futbol Terimleri & Taktikler,Common
Getafe,Maviler,Madrid,Coliseum,Banliyö,Bordalas,Yeşil Saha Efsaneleri,Rare
Rayo Vallecano,Beyaz Kırmızı,Madrid,Semt,Vallecas,İşçi,Yeşil Saha Efsaneleri,Rare
Mallorca,Kırmızılar,Ada,Akdeniz,Son Moix,Turizm,Yeşil Saha Efsaneleri,Rare
Las Palmas,Sarı Lacivert,Kanarya Adaları,Gran Canaria,Ada,Tatil,Yeşil Saha Efsaneleri,Rare
Girona,Kırmızı Beyaz,Katalonya,City Group,Montilivi,Sürpriz,Yeşil Saha Efsaneleri,Rare
Espanyol,Mavi Beyaz,Katalonya,Barselona,Papağanlar,Cornella,Yeşil Saha Efsaneleri,Rare
Real Valladolid,Mor Beyaz,Ronaldo,Jose Zorrilla,Kastilya,Pucela,Yeşil Saha Efsaneleri,Legendary
Real Zaragoza,Beyaz Mavi,Aragon,La Romareda,Köklü,Zaragoza,Kulüpler & Mabedler,Epic
Levante,Kurbağalar,Kırmızı Mavi,Valencia,Ciutat,Doğu,Kulüpler & Mabedler,Epic
Sporting Gijon,Kırmızı Beyaz,Asturias,El Molinon,Kuzey,Quini,Yeşil Saha Efsaneleri,Rare
Tenerife,Beyaz Mavi,Kanarya Adaları,Ada,Heliodoro,Teide,Yeşil Saha Efsaneleri,Rare
Paris Saint Germain,Mavi Kırmızı,Paris,Mbappe,Katar,Parc des Princes,Kulüpler & Mabedler,Epic
Marseille,Mavi Beyaz,Marsilya,Velodrome,Güney,Ateşli,Yeşil Saha Efsaneleri,Rare
Lyon,Kırmızı Mavi,Groupama,Juninho,Aulas,Fransa,Yeşil Saha Efsaneleri,Rare
Monaco,Kırmızı Beyaz,Prens,Monte Carlo,Vergisiz,Louis II,Yeşil Saha Efsaneleri,Rare
Lille,Kırmızı Beyaz,Kuzey,Köpekler,Yusuf Yazıcı,Şampiyon,Yeşil Saha Efsaneleri,Rare
Lens,Sarı Kırmızı,"Kan, Altın",Kuzey,Bollaert,Maden,Yeşil Saha Efsaneleri,Rare
Rennes,Kırmızı Siyah,Breton,Roazhon,Pinault,Batı,Yeşil Saha Efsaneleri,Rare
Nice,Kırmızı Siyah,Güney,Riviera,Ineos,Kartallar,Yeşil Saha Efsaneleri,Rare
Toulouse,Mor Beyaz,Menekşeler,Güney,Data,Kupa,Kupalar & Turnuvalar,Epic
Nantes,Sarı Yeşil,Kanaryalar,Batı,Beaujoire,Kupa,Kupalar & Turnuvalar,Epic
Strasbourg,Mavi Beyaz,Alsas,Doğu,Meinau,Almanya,Yeşil Saha Efsaneleri,Rare
Montpellier,Lacivert Turuncu,Güney,Mosson,Nicollin,Şampiyon,Yeşil Saha Efsaneleri,Rare
Bordeaux,Lacivert Beyaz,Şarap,Şato,Güneybatı,Köklü,Yeşil Saha Efsaneleri,Rare
Saint Etienne,Yeşiller,Geoffroy-Guichard,Kupa,Kazan,Platini,Kupalar & Turnuvalar,Epic
Auxerre,Mavi Beyaz,Guy Roux,Abbe-Deschamps,Burgonya,Köklü,Yeşil Saha Efsaneleri,Rare
Metz,Bordo,Lothringen,Doğu,Ejderha,Saint-Symphorien,Yeşil Saha Efsaneleri,Rare
Troyes,Mavi Beyaz,City Group,Champagne,Aube,Yo-yo,Yeşil Saha Efsaneleri,Rare
Anfield,Liverpool,You Never Walk Alone,Kop,İngiltere,Kırmızı,Kulüpler & Mabedler,Epic
Emirates Stadyumu,Arsenal,Londra,Topçular,Sponsor,Wenger,Kulüpler & Mabedler,Epic
La Bombonera,Boca Juniors,Arjantin,Çikolata Kutusu,Maradona,Buenos Aires,Yeşil Saha Efsaneleri,Legendary
Monumental,River Plate,Arjantin,Büyük,Buenos Aires,Final,Yeşil Saha Efsaneleri,Rare
San Paolo,Napoli,Maradona,İtalya,Güney,Stadyum,Kulüpler & Mabedler,Epic
Wanda Metropolitano,Atletico Madrid,İspanya,Yeni,Madrid,Final,Kulüpler & Mabedler,Epic
Parc des Princes,PSG,Paris,Fransa,Prens,Stadyum,Kulüpler & Mabedler,Epic
Unai Emery,Avrupa Ligi,Aston Villa,İspanyol,Sevilla,PSG,Kulüpler & Mabedler,Epic
Erik ten Hag,Kel,Hollandalı,Manchester United,Ajax,Kriz,Kulüpler & Mabedler,Epic
Mauricio Pochettino,Arjantinli,Tottenham,Chelsea,PSG,Genç,Kulüpler & Mabedler,Epic
Julian Nagelsmann,Genç,Alman,Milli Takım,Bayern Münih,Kaykay,Kulüpler & Mabedler,Epic
Hikmet Karaman,Anadolu,Tecrübeli,Röportaj,Almanya,Gözlük,Yeşil Saha Efsaneleri,Rare
VAR Sistemi,Ekran,Hakem,İptal,Çizgi,Monitör,Futbol Terimleri & Taktikler,Common
Ofsayt Taktiği,Çizgi,Savunma,İleride Kurmak,Bayrak,Düşürmek,Futbol Terimleri & Taktikler,Common
Poker,Dört,Gol,Aynı Maç,Forvet,Atmak,Yeşil Saha Efsaneleri,Rare
Double,İki,Kupa,Gol,Aynı,Duble,Kupalar & Turnuvalar,Epic
Treble,Üçleme,Kupa,Şampiyonlar Ligi,Lig,Kupa,Kupalar & Turnuvalar,Epic
Box to Box,Orta Saha,İki Ceza Sahası,Koşmak,Dinamik,Gidip Gelen,Futbol Terimleri & Taktikler,Common
Sahte Dokuz,Forvet,Geriye Gelen,Messi,Boşluk,Taktik,Futbol Terimleri & Taktikler,Common
Kanat Bek,Defans,Hücum,Kenar,Çizgi,Wingback,Futbol Terimleri & Taktikler,Common
Stoper,Defans,Ortası,Savunma,Kesici,Uzun,Futbol Terimleri & Taktikler,Common
Libero,Süpürücü,Defans Arkası,Serbest,Beckenbauer,Eski,Futbol Terimleri & Taktikler,Common
Ön Libero,Defans Önü,Kesici,Altı Numara,Melo,Orta Saha,Futbol Terimleri & Taktikler,Common
Falso,Kavis,Dönerek,Vuruş,Roberto Carlos,Frikik,Yeşil Saha Efsaneleri,Rare
Menajer,Temsilci,Komisyon,Oyuncu,Transfer,Mendes,Yeşil Saha Efsaneleri,Rare
Scout,Gözlemci,Keşif,Genç,Yetenek,İzlemek,Yeşil Saha Efsaneleri,Rare
El Clasico,Real Madrid,Barcelona,İspanya,Derbi,Büyük,Kulüpler & Mabedler,Epic
Superclasico,Boca,River,Arjantin,Derbi,Ateşli,Yeşil Saha Efsaneleri,Rare
Koreografi,Tribün,Kartal,Görsel,Şov,Taraftar,Futbol Terimleri & Taktikler,Common
Pankart,Yazı,Tribün,Bez,Mesaj,Taraftar,Futbol Terimleri & Taktikler,Common
Deplasman Otobüsü,Taraftar,Yolculuk,Taş,Grup,Cam,Futbol Terimleri & Taktikler,Common
Holigan,Kavga,İngiliz,Aşırı,Şiddet,Taraftar,Futbol Terimleri & Taktikler,Common
Forma,Kıyafet,Ter,Renk,Numara,Arma,Futbol Terimleri & Taktikler,Common
Arma,Göğüs,Öpmek,Logo,Sembol,Kulüp,Yeşil Saha Efsaneleri,Rare
Pazubent,Kaptan,Kol,Takmak,Bant,Lider,Futbol Terimleri & Taktikler,Common
Düdük,Hakem,Ses,Üflemek,Çalmak,Başlangıç,Futbol Terimleri & Taktikler,Common
Dördüncü Hakem,Tabela,Değişiklik,Uzatma,Kenar,Yedek,Futbol Terimleri & Taktikler,Common
Gözlemci,Hakem,Not,Tribün,TFF,Rapor,Futbol Terimleri & Taktikler,Common
Yayıncı Kuruluş,Kamera,Televizyon,Maç,Spiker,Bein,Yeşil Saha Efsaneleri,Rare
Spiker,Anlatmak,Maç,Ses,Mikrofon,Yorumcu,Yeşil Saha Efsaneleri,Rare
Yorumcu,Maç,Eski Futbolcu,Değerlendirme,Televizyon,Analiz,Yeşil Saha Efsaneleri,Rare
Basın Toplantısı,Gazeteci,Soru,Maç Sonu,Teknik Direktör,Mikrofon,Futbol Terimleri & Taktikler,Common
Sakatlık,Acı,Doktor,Sedye,Oyundan Çıkmak,Yırtık,Yeşil Saha Efsaneleri,Rare
Sedye,Sakatlık,Taşımak,Doktor,Saha Dışı,Yatmak,Yeşil Saha Efsaneleri,Rare
Tedavi,Doktor,Sprey,Buz,Saha İçi,Sağlık,Yeşil Saha Efsaneleri,Rare
Devre Arası,Mola,On Beş Dakika,Soyunma Odası,Dinlenmek,Taktik,Futbol Terimleri & Taktikler,Common
Uzatma Dakikaları,Maç Sonu,Artı,Tabela,İlave,Ekstra,Yeşil Saha Efsaneleri,Rare
Altın Gol,Eski Kural,Uzatma,Atan Kazanır,Biter,İlhan Mansız,Yeşil Saha Efsaneleri,Rare
Gümüş Gol,Eski Kural,Uzatma,Devre Sonu,Biter,Avrupa Şampiyonası,Yeşil Saha Efsaneleri,Rare
Penaltı Atışları,Beraberlik,Eleme,Heyecan,Kaleci,Nokta,Futbol Terimleri & Taktikler,Common
Şampiyonluk,Kupa,Birinci,Madalya,Kutlama,Tur,Kupalar & Turnuvalar,Epic
Küme Düşme,Alt Lig,Sonuncu,Gözyaşı,Matematiksel,Veda,Yeşil Saha Efsaneleri,Rare
Play off,Eleme,Yükselme,Ekstra,Maç,Final,Yeşil Saha Efsaneleri,Rare
Kura Çekimi,Top,Kase,Eşleşme,Şampiyonlar Ligi,Rakip,Futbol Terimleri & Taktikler,Common
Sözleşme,İmza,Kağıt,Süre,Para,Fesih,Yeşil Saha Efsaneleri,Rare
Serbest Kalma Bedeli,Para,Bonservis,Sözleşme,Ödemek,Madde,Yeşil Saha Efsaneleri,Rare
Altyapı,Genç,Akademi,A Takım,U-19,Yetişmek,Yeşil Saha Efsaneleri,Rare
A Takım,As Kadro,Profesyonel,Altyapı,Çıkmak,Oynamak,Yeşil Saha Efsaneleri,Rare
Jübile,Veda,Bırakmak,Son Maç,Emekli,Futbolu,Yeşil Saha Efsaneleri,Rare
Juventus,Siyah Beyaz,Torino,Yaşlı Kadın,Zebra,Ronaldo,Kulüpler & Mabedler,Epic
AC Milan,Kırmızı Siyah,San Siro,Şampiyonlar Ligi,İtalya,Maldini,Kulüpler & Mabedler,Epic
Inter,Mavi Siyah,Milano,Giuseppe Meazza,Zanetti,İtalya,Kulüpler & Mabedler,Epic
Napoli,Mavi Beyaz,Maradona,Güney,San Paolo,İtalya,Kulüpler & Mabedler,Epic
Roma,Sarı Kırmızı,Olimpiyat,Kurt,Totti,Başkent,Kulüpler & Mabedler,Epic
Lazio,Açık Mavi,Olimpiyat,Kartal,Roma,Derbi,Kulüpler & Mabedler,Epic
Atalanta,Mavi Siyah,Bergamo,Gasperini,Hücum,İtalya,Yeşil Saha Efsaneleri,Rare
Fiorentina,Mor Menekşeler,Floransa,Artemio Franchi,Batistuta,İtalya,Yeşil Saha Efsaneleri,Rare
Bayern Münih,Kırmızı Beyaz,Allianz Arena,Almanya,Bavyera,Şampiyon,Kulüpler & Mabedler,Epic
Borussia Dortmund,Sarı Siyah,Signal Iduna Park,Sarı Duvar,Almanya,Ruhr,Kulüpler & Mabedler,Epic
Bayer Leverkusen,Kırmızı Siyah,İlaç,Xabi Alonso,Yenilgisiz,Almanya,Yeşil Saha Efsaneleri,Rare
RB Leipzig,Kırmızı Boğalar,Red Bull,Doğu Almanya,Enerji İçeceği,Yeni,Yeşil Saha Efsaneleri,Rare
Schalke 04,Mavi Beyaz,Gelsenkirchen,Maden,Ruhr,Almanya,Yeşil Saha Efsaneleri,Rare
Werder Bremen,Yeşil Beyaz,Mızıkacılar,Almanya,Kuzey,Mesut Özil,Yeşil Saha Efsaneleri,Rare
Stuttgart,Kırmızı Beyaz,Mercedes,Almanya,Mario Gomez,Güney,Yeşil Saha Efsaneleri,Rare
Samuel Eto'o,Kamerun,Barcelona,Inter,Antalyaspor,Hızlı,Kulüpler & Mabedler,Epic
Adam Adama,Birebir,Savunma,Taktik,Markaj,Takip,Futbol Terimleri & Taktikler,Common
Bölge Savunması,Alan,Defans,Taktik,Kapatmak,Markaj,Futbol Terimleri & Taktikler,Common
Suni Çim,Plastik,Saha,Zemin,Yeşil,Halı Saha,Yeşil Saha Efsaneleri,Rare
Çim Saha,Doğal,Yeşil,Zemin,Stadyum,Sulama,Kulüpler & Mabedler,Epic
Top Toplayıcı,Çocuk,Kenar,Topu Vermek,Hızlı,Zaman,Futbol Terimleri & Taktikler,Common
Soyunma Odası,Devre Arası,Taktik,Dolap,Forma,Maç Öncesi,Futbol Terimleri & Taktikler,Common
Taktik Tahtası,Çizim,Mıknatıs,Hoca,Anlatmak,Soyunma Odası,Futbol Terimleri & Taktikler,Common
Kale Direği,Üst,Yan,Çarpmak,Çizgi,Beyaz,Futbol Terimleri & Taktikler,Common
Kale Ağları,File,Gol,Dalgalanmak,Yırtılmak,Top,Futbol Terimleri & Taktikler,Common
Şampiyonlar Ligi Müziği,Tüyler Ürpertici,Seremoni,Maç Öncesi,Avrupa,Marş,Yeşil Saha Efsaneleri,Rare
Ziraat Türkiye Kupası,Banka,Kupa,Eleme,Yerel,Sponsor,Kupalar & Turnuvalar,Epic
Süper Kupa,Şampiyonlar,Final,Tek Maç,Yazın,Kazanmak,Kupalar & Turnuvalar,Epic
Ters Köşe,Kaleci,Penaltı,Yatırmak,Vuruş,Gol,Futbol Terimleri & Taktikler,Common
90. Dakika,Son Saniye,Gol,Uzatma,Bitiş,Düdük,Yeşil Saha Efsaneleri,Rare
Son Dakika Golü,Hayat Öpücüğü,Uzatma,Galibiyet,Heyecan,Maç Sonu,Yeşil Saha Efsaneleri,Rare
Olimpik Gol,Korner,Doğrudan,Köşe Vuruşu,Kaleci,Kavis,Futbol Terimleri & Taktikler,Common
Ölü Yaprak Vuruşu,Cristiano Ronaldo,Juninho,Frikik,Top,Düşmek,Futbol Terimleri & Taktikler,Common
Bacak Arası,Çalım,Beşlik,Geçmek,Utanç,Top,Futbol Terimleri & Taktikler,Common
Krampon Çivisi,Alt,Demir,Kaymamak,Zemin,Ayakkabı,Futbol Terimleri & Taktikler,Common
Hakem Atışı,Hava Topu,Düşmek,Oyun Durması,Eski Kural,Adil,Futbol Terimleri & Taktikler,Common
Fair Play,Saygı,Dürüst,Topu Dışarı Atmak,Sakatlık,Centilmenlik,Futbol Terimleri & Taktikler,Common
Topu Dışarı Atmak,Sakatlık,Fair Play,Taç,Duraklamak,Yere Düşmek,Futbol Terimleri & Taktikler,Common
Avantaja Bırakmak,Hakem,Faul,Devam,Oyun,Düdük Çalmamak,Futbol Terimleri & Taktikler,Common
Endirekt Serbest Vuruş,Çift Vuruş,Ceza Sahası İçi,Kaleciye Pas,Hakem,Kol Havada,Futbol Terimleri & Taktikler,Common
Kaleciye Geri Pas,Elle Tutmak,Yasak,Ayak,Endirekt,Kural,Futbol Terimleri & Taktikler,Common
Sprey,Hakem,Beyaz,Köpük,Çizgi,Frikik,Futbol Terimleri & Taktikler,Common
Kura Parası,Hakem,Yazı Tura,Kale Seçimi,Top Seçimi,Kaptanlar,Futbol Terimleri & Taktikler,Common
Kaptanlık Pazubendi,Kol,Lider,Takım,Takmak,Arma,Futbol Terimleri & Taktikler,Common
Isınma Yeleği,Yedek,Kenar,Antrenman,Renkli,Giyinmek,Yeşil Saha Efsaneleri,Rare
Eşofman,Takım,Yedek,Antrenman,Isınmak,Giyinmek,Yeşil Saha Efsaneleri,Rare
Teknik Alan,Çizgi,Hoca,Kenar,Çıkmak,Bağırmak,Yeşil Saha Efsaneleri,Rare
Kulüp Doktoru,Sağlık,Sakatlık,Saha,Çanta,Tedavi,Yeşil Saha Efsaneleri,Rare
Masör,Masaj,Kas,Kramp,Saha İçi,Rahatlatmak,Yeşil Saha Efsaneleri,Rare
Kramp,Kasılma,Bacak,Yere Düşmek,Yorgunluk,Germek,Yeşil Saha Efsaneleri,Rare
Adale Yırtılması,Sakatlık,Arka,Koşarken,Oyundan Çıkmak,Kopmak,Yeşil Saha Efsaneleri,Rare
Çapraz Bağ,Diz,Kopmak,Sakatlık,Altı Ay,Ameliyat,Yeşil Saha Efsaneleri,Rare
Menisküs,Diz,Sakatlık,Ameliyat,Futbolcu,Kıkırdak,Yeşil Saha Efsaneleri,Rare
Ameliyat,Sakatlık,Doktor,Hastane,Sezonu Kapatmak,Bıçak,Yeşil Saha Efsaneleri,Rare
Gençlerbirliği,Ankara,Kırmızı Kara,İlhan Cavcav,Başkent,Rüzgarlı,Yeşil Saha Efsaneleri,Rare
Ankaraspor,Başkent,Osmanlıspor,Mavi Beyaz,Ankara,Melih Gökçek,Yeşil Saha Efsaneleri,Rare
Manisaspor,Tarzanlar,Ege,Siyah Beyaz,Vestel,Arda Turan,Yeşil Saha Efsaneleri,Rare
Adanaspor,Toros Kaplanları,Turuncu Beyaz,Adana,Güney,Derbi,Yeşil Saha Efsaneleri,Rare
Adana Demirspor,Mavi Lacivert,Şimşekler,Adana,Güney,Balotelli,Yeşil Saha Efsaneleri,Rare
Mersin İdman Yurdu,Kırmızı Lacivert,Şeytanlar,Akdeniz,Tevfik Sırrı Gür,Mersin,Yeşil Saha Efsaneleri,Rare
Diyarbakırspor,Kırmızı Yeşil,Güneydoğu,Karpuz,Surları,Diyarbakır,Yeşil Saha Efsaneleri,Rare
Kardemir Karabükspor,Mavi Ateş,Kırmızı Mavi,Demir Çelik,Karadeniz,Karabük,Yeşil Saha Efsaneleri,Rare
Orduspor,Mor Beyaz,Menekşe,Karadeniz,Fındık,Hector Cuper,Yeşil Saha Efsaneleri,Rare
Ali Koç,Başkan,Fenerbahçe,Zengin,Koç Holding,Seçim,Kulüpler & Mabedler,Epic
Dursun Özbek,Galatasaray,Başkan,Otel,Sportif A.Ş.,Seçim,Kulüpler & Mabedler,Epic
Hasan Arat,Beşiktaş,Başkan,Basketbol,Seçim,Yönetim,Yeşil Saha Efsaneleri,Rare
Ahmet Nur Çebi,Eski Başkan,Beşiktaş,Demirören,Yönetim,Trabzon,Yeşil Saha Efsaneleri,Rare
Ertuğrul Doğan,Trabzonspor,Başkan,Ağaoğlu,Bordo Mavi,Yönetim,Kulüpler & Mabedler,Epic
Aziz Yıldırım,Fenerbahçe,Efsane,Başkan,Hapis,Ali Koç,Kulüpler & Mabedler,Epic
Ali Şansalan,Hakem,Düdük,Süper Lig,VAR,Karar,Futbol Terimleri & Taktikler,Common
Halil Umut Meler,Hakem,Ankaragücü,Yumruk,Fifa,Süper Lig,Futbol Terimleri & Taktikler,Common
Cüneyt Çakır,Eski Hakem,Fifa,Dünya Kupası,Efsane,Süper Lig,Kupalar & Turnuvalar,Epic
Fırat Aydınus,Eski Hakem,Yorumcu,Süper Lig,Mühendis,Derbi,Futbol Terimleri & Taktikler,Common
Pierluigi Collina,Kel,Hakem,İtalyan,Efsane,Sert Bakış,Futbol Terimleri & Taktikler,Common
Florentino Perez,Real Madrid,Başkan,Galacticos,Zengin,Süper Lig,Kulüpler & Mabedler,Epic
Joan Laporta,Barcelona,Başkan,Messi,Katalan,Seçim,Kulüpler & Mabedler,Epic
Nasser Al Khelaifi,PSG,Başkan,Katar,Zengin,UEFA,Kupalar & Turnuvalar,Epic
Swansea City,Galler,Kuğu,Beyaz,İngiltere,Michu,Yeşil Saha Efsaneleri,Rare
Cardiff City,Galler,Mavi Kuşlar,İngiltere,Kırmızı,Galler,Yeşil Saha Efsaneleri,Rare
Stoke City,Kırmızı Beyaz,Rüzgar,Soğuk,Britannia,Taç,Futbol Terimleri & Taktikler,Common
Bolton Wanderers,Beyaz,Allardyce,Okocha,Anelka,Reebok,Yeşil Saha Efsaneleri,Rare
Portsmouth,Mavi,Güney,Fratton Park,Denizci,Kupa,Kupalar & Turnuvalar,Epic
Charlton Athletic,Kırmızı Beyaz,Londra,The Valley,Kılıç,Valley,Yeşil Saha Efsaneleri,Rare
Derby County,Koç,Siyah Beyaz,Pride Park,Rooney,Puan,Yeşil Saha Efsaneleri,Rare
Reading,Mavi Beyaz,Kraliyet,Madejski,Londra Yakını,Bisküvi,Yeşil Saha Efsaneleri,Rare
Guingamp,Kırmızı Siyah,Kupa,Bretanya,Drogba,Köy,Kupalar & Turnuvalar,Epic
Bastia,Mavi,Korsika,Ada,Ateşli,Olay,Yeşil Saha Efsaneleri,Rare
Ajaccio,Kırmızı Beyaz,Korsika,Ada,Ochoa,Güney,Yeşil Saha Efsaneleri,Rare
Lorient,Turuncu Siyah,Merlu,Suni Çim,Bretanya,Gourcuff,Yeşil Saha Efsaneleri,Rare
Toulon,Sarı Mavi,Rugby,Güney,Eski,Liman,Yeşil Saha Efsaneleri,Rare
Deportivo La Coruna,Mavi Beyaz,Galiçya,Riazor,Efsane,Şampiyon,Yeşil Saha Efsaneleri,Rare
Malaga,Mavi Beyaz,Endülüs,Rosaleda,Arap,Pellegrini,Yeşil Saha Efsaneleri,Rare
Racing Santander,Yeşil Beyaz,Kuzey,Cantabria,El Sardinero,Munitis,Yeşil Saha Efsaneleri,Rare
Hercules,Mavi Beyaz,Alicante,Trezeguet,Drenthe,Yunan,Yeşil Saha Efsaneleri,Rare
Cadiz,Sarı Lacivert,Endülüs,Ramon de Carranza,Sahil,Korsan,Yeşil Saha Efsaneleri,Rare
Panenka,Penaltı,Aşırtma,Ortaya,Zidane,Çek,Futbol Terimleri & Taktikler,Common
El Turco,Galatasaray,İtalya,Arjantin,Lakap,Hasan Şaş,Kulüpler & Mabedler,Epic
Santrafor,Dokuz Numara,Golcü,Forvet,Hücum,En Uç,Futbol Terimleri & Taktikler,Common
Sağ Açık,Kanat,Hücum,Orta,Çizgi,Yedi Numara,Futbol Terimleri & Taktikler,Common
Sol Açık,Kanat,Hücum,On Bir Numara,Çizgi,Ters Ayak,Futbol Terimleri & Taktikler,Common
Kademeye Girmek,Savunma,Arkaya Geçmek,Kapatmak,Yardım,Defans,Futbol Terimleri & Taktikler,Common
Kanat Değiştirmek,Uzun Top,Ters,Oyun Yönü,Çizgi,Pas,Futbol Terimleri & Taktikler,Common
Oyunu Soğutmak,Zaman Geçirmek,Yavaş,Skor,Yatmak,Pas,Futbol Terimleri & Taktikler,Common
Şampiyonlar Ligi Kupası,Kulplu,Büyük Kulak,Avrupa,Kazanmak,Final,Kupalar & Turnuvalar,Epic
Altın Top,Ballon dOr,Messi,Ronaldo,Ödül,Yılın En İyisi,Kupalar & Turnuvalar,Epic
Puskas Ödülü,En İyi Gol,Yılın Golü,Macar,Fifa,Güzel,Yeşil Saha Efsaneleri,Rare
Half Space,İç Koridor,Taktik,De Bruyne,Boşluk,Orta Saha,Futbol Terimleri & Taktikler,Common
Geri Dörtlü,Defans,Stoper,Bek,Savunma,Hat,Futbol Terimleri & Taktikler,Common
Pivot Santrafor,Uzun Boylu,Duvar Olmak,Kafa Topu,İndirmek,Fizikli,Futbol Terimleri & Taktikler,Common
Fırsatçı Golcü,İnzaghi,Altı Pas,Dokunuş,Takipçi,Sezgi,Futbol Terimleri & Taktikler,Common
Asimetrik Diziliş,Taktik,Farklı,Kanat,Guardiola,Şaşırtmak,Futbol Terimleri & Taktikler,Common
Karagümrük,Kırmızı Siyah,Vefa,İstanbul,Süleyman Hurma,Pirlo,Yeşil Saha Efsaneleri,Rare
Ümraniyespor,Kırmızı Beyaz,İstanbul,Anadolu Yakası,Tesis,Lig,Yeşil Saha Efsaneleri,Rare
Bodrumspor,Yeşil Beyaz,Muğla,Ege,Tatil,Turizm,Yeşil Saha Efsaneleri,Rare
Eyüpspor,Eflatun Sarı,Arda Turan,İstanbul,Haliç,Tarihi,Yeşil Saha Efsaneleri,Rare
Manisa FK,Siyah Beyaz,Ege,Tarzan,Manisa,Yeni,Yeşil Saha Efsaneleri,Rare
Eintracht Frankfurt,Kartal,Almanya,Kırmızı Siyah,Avrupa Ligi,Taraftar,Futbol Terimleri & Taktikler,Common
